current_date_time,pipeline_generator,pipeline_processors,pipeline_evaluator,text_or_image,runs,human_human,ai_ai,ai_human,human_ai
2024-01-09 13:20:34,falcon_generator_text,double_whitespace_processor_text,roberta_evaluator_text,text,100,4,85,4,7
2024-01-09 13:28:10,falcon_generator_text,double_whitespace_processor_text,radar_evaluator_text,text,100,0,100,0,0
2024-01-09 13:53:32,falcon_generator_text,typo_processor_text,roberta_evaluator_text,text,100,10,0,89,1
2024-01-09 13:59:45,falcon_generator_text,typo_processor_text,radar_evaluator_text,text,100,0,100,0,0
